任务ID,优先级,任务状态,问题类型,供应商SKU,Wayfair Listing,产品名,SKU价值分层,促销准入,触发原因,建议动作,执行前检查,复盘指标,证据来源,证据链接,排序分
TASK-2T-Kayak-LISTING-001,P1,待执行,Listing,2T-Kayak,DMOM1001,,C,禁止促销/先修复,Review 数 2 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-3T-B-LISTING-001,P1,待执行,Listing,3T-B,DMOM1017,,C,禁止促销/先修复,Required Tags 覆盖率 72.2% 低于 80%；Review 数 1 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-3T-W-LISTING-001,P1,待执行,Listing,3T-W,DMOM1017,,C,禁止促销/先修复,Required Tags 覆盖率 72.2% 低于 80%；Review 数 1 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-4T-Kayak-LISTING-001,P1,待执行,Listing,4T-Kayak,DMOM1003,,A,可参加5%-10%轻促,Review 数 2 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-5T-1600-800-LISTING-001,P1,待执行,Listing,5T-1600-800,DMOM1000,,C,禁止促销/先修复,Required Tags 覆盖率 75.0% 低于 80%；Review 数 8 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-5T-1830-1200-LISTING-001,P1,待执行,Listing,5T-1830-1200,DMOM1000,,B,禁止促销/先修复,Required Tags 覆盖率 75.0% 低于 80%；Review 数 8 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-5T-1830-900-LISTING-001,P1,待执行,Listing,5T-1830-900,DMOM1000,,C,禁止促销/先修复,Required Tags 覆盖率 75.0% 低于 80%；Review 数 8 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-5T-1980-1200-LISTING-001,P1,待执行,Listing,5T-1980-1200,DMOM1000,,A,禁止促销/先修复,Required Tags 覆盖率 75.0% 低于 80%；Review 数 8 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-5T-dong-183-120-LISTING-001,P1,待执行,Listing,5T-dong-183-120,DMOM1015,,C,禁止促销/先修复,Required Tags 覆盖率 75.0% 低于 80%；Review 数 6 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-5T-dong-198-120-LISTING-001,P1,待执行,Listing,5T-dong-198-120,DMOM1015,,C,禁止促销/先修复,Required Tags 覆盖率 75.0% 低于 80%；Review 数 6 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-5T-wangge-LISTING-001,P1,待执行,Listing,5T-wangge,DMOM1016,,C,禁止促销/先修复,Required Tags 覆盖率 75.0% 低于 80%；Review 数 3 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-6T-2095-122-LISTING-001,P1,待执行,Listing,6T-2095-122,DMOM1000,,B,禁止促销/先修复,Required Tags 覆盖率 75.0% 低于 80%；Review 数 8 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-LFC-2B-LISTING-001,P1,待执行,Listing,LFC-2B,DMOM1018,,A,谨慎参加5%轻促,Review 数 5 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-LFC-2W-LISTING-001,P1,待执行,Listing,LFC-2W,DMOM1018,,B,暂不促销,Review 数 5 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-LFC-2W-680-LISTING-001,P1,待执行,Listing,LFC-2W-680,DMOM1021,,A,禁止促销/先修复,Review 数 11 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-LFC-3B-LISTING-001,P1,待执行,Listing,LFC-3B,DMOM1025,,B,谨慎参加5%轻促,Review 数 8 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-LFC-3W-LISTING-001,P1,待执行,Listing,LFC-3W,DMOM1025,,A,谨慎参加5%轻促,Review 数 8 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-LFC-4B-LISTING-001,P1,待执行,Listing,LFC-4B,DMOM1027,,B,禁止促销/先修复,Review 数 4 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-LFC-4W-LISTING-001,P1,待执行,Listing,LFC-4W,DMOM1027,,C,禁止促销/先修复,Review 数 4 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-MFC-D2-B-LISTING-001,P1,待执行,Listing,MFC-D2-B,DMOM1020,,B,禁止促销/先修复,Required Tags 覆盖率 78.6% 低于 80%；Review 数 14 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-MFC-D2-W-LISTING-001,P1,待执行,Listing,MFC-D2-W,DMOM1020,,B,禁止促销/先修复,Required Tags 覆盖率 78.6% 低于 80%；Review 数 14 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-MFC-D3-B-LISTING-001,P1,待执行,Listing,MFC-D3-B,DMOM1022,,B,禁止促销/先修复,Required Tags 覆盖率 78.6% 低于 80%；Review 数 12 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-MFC-D3-W-LISTING-001,P1,待执行,Listing,MFC-D3-W,DMOM1022,,B,禁止促销/先修复,Required Tags 覆盖率 78.6% 低于 80%；Review 数 12 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-VF-ZH-4B-LISTING-001,P1,待执行,Listing,VF-ZH-4B,DMOM1029,,C,禁止促销/先修复,Review 数 6 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-VF-ZH-4W-LISTING-001,P1,待执行,Listing,VF-ZH-4W,DMOM1029,,C,禁止促销/先修复,Review 数 6 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-VFC-2W-LISTING-001,P1,待执行,Listing,VFC-2W,DMOM1026,,C,禁止促销/先修复,Review 数 3 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-VFC-3B-LISTING-001,P1,待执行,Listing,VFC-3B,DMOM1019,,C,禁止促销/先修复,Required Tags 覆盖率 78.6% 低于 80%；Review 数 4 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-VFC-3W-LISTING-001,P1,待执行,Listing,VFC-3W,DMOM1019,,B,禁止促销/先修复,Required Tags 覆盖率 78.6% 低于 80%；Review 数 4 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-VFC-4B-LISTING-001,P1,待执行,Listing,VFC-4B,DMOM1023,,C,禁止促销/先修复,Review 数 6 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-VFC-4W-LISTING-001,P1,待执行,Listing,VFC-4W,DMOM1023,,C,禁止促销/先修复,Review 数 6 低于 20,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,68.0
TASK-LFC-2B-PROMO-001,P2,待执行,促销,LFC-2B,DMOM1018,,A,谨慎参加5%轻促,必须同时看库存和广告ACOS,只允许轻促观察；促销前再次确认库存和真实毛利。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,45.0
TASK-LFC-3B-PROMO-001,P2,待执行,促销,LFC-3B,DMOM1025,,B,谨慎参加5%轻促,必须同时看库存和广告ACOS,只允许轻促观察；促销前再次确认库存和真实毛利。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,45.0
TASK-LFC-3W-PROMO-001,P2,待执行,促销,LFC-3W,DMOM1025,,A,谨慎参加5%轻促,必须同时看库存和广告ACOS,只允许轻促观察；促销前再次确认库存和真实毛利。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,45.0
TASK-6D-locker-PRICING-001,P2,待执行,定价,6D-locker,DMOM1045,6门书包柜,N,新品不进大促,待确认价格：缺少美国前台价，不能做提价/促销判断；综合经营优先级为 P2，按店铺价值降级处理,先确认是否仍可售或仅部分店铺可售,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 0.0%→≥16%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-8T-Kayak-PRICING-001,P2,待执行,定价,8T-Kayak,DMOM1002,,N,新品不进大促,不建议提价：成交样本不足；Base/前台价高于72%；供货价竞争百分位偏高；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（Base/前台价 77% 超 72% 红线、供货价竞争分位 0.82 偏高）；本SKU首要瓶颈是供货价（竞争分位 0.82）：优先谈拿货价或降包装/头程成本；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 20.4%→≥16%、Base/前台价 77%→≤72%、成交 0 单→先攒满3单再看毛利、供货价分位 0.82→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-9D-locker-LISTING-001,P2,待执行,Listing,9D-locker,DMOM1046,,N,新品不进大促,Required Tags 覆盖率 50.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-9D-locker-PRICING-001,P2,待执行,定价,9D-locker,DMOM1046,9门书包柜,N,新品不进大促,待确认价格：缺少美国前台价，不能做提价/促销判断；综合经营优先级为 P2，按店铺价值降级处理,先确认是否仍可售或仅部分店铺可售,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 0.0%→≥16%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-CT-01-LISTING-001,P2,待执行,Listing,CT-01,DMOM1040,,N,新品不进大促,Required Tags 覆盖率 77.8% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-CT-3ps-PRICING-001,P2,待执行,定价,CT-3ps,DMOM1041,3件套-黑色玻璃钢制花边咖啡桌,N,新品不进大促,不建议提价：成交样本不足；供货价竞争百分位偏高；发货成本竞争百分位偏高；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（供货价竞争分位 1.00 偏高）；本SKU首要瓶颈是发货成本（竞争分位 1.00）：优先复核包裹尺寸、发货方式、仓库位置；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；优先复核包裹尺寸、发货方式、仓库位置,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 32.9%→≥16%、Base/前台价 57%→≤72%、成交 0 单→先攒满3单再看毛利、发货成本分位 1.00→≤0.70、供货价分位 1.00→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-CW12S0768-PROMO-001,P2,待执行,促销,CW12S0768,,,C,禁止促销/先修复,卖家历史净毛利率低于15%；综合经营优先级为 P2，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-MFC-D2B-PRICING-001,P2,待执行,定价,MFC-D2B,DMOM1056,2抽鹅颈活动柜黑色,N,新品不进大促,待确认价格：缺少美国前台价，不能做提价/促销判断；综合经营优先级为 P2，按店铺价值降级处理,先确认是否仍可售或仅部分店铺可售,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 0.0%→≥16%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-MFC-D2W-PRICING-001,P2,待执行,定价,MFC-D2W,DMOM1056,2抽鹅颈活动柜白色,N,新品不进大促,待确认价格：缺少美国前台价，不能做提价/促销判断；综合经营优先级为 P2，按店铺价值降级处理,先确认是否仍可售或仅部分店铺可售,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 27.1%→≥16%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-MFC-D3B-PRICING-001,P2,待执行,定价,MFC-D3B,DMOM1055,,N,新品不进大促,待确认价格：缺少美国前台价，不能做提价/促销判断；综合经营优先级为 P2，按店铺价值降级处理,先确认是否仍可售或仅部分店铺可售,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 27.2%→≥16%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-MFC-D3W-PRICING-001,P2,待执行,定价,MFC-D3W,DMOM1055,,N,新品不进大促,待确认价格：缺少美国前台价，不能做提价/促销判断；综合经营优先级为 P2，按店铺价值降级处理,先确认是否仍可售或仅部分店铺可售,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 0.0%→≥16%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-MK-WB001B-PRICING-001,P2,待执行,定价,MK-WB001B,DMOM1006,,N,新品不进大促,待补成本：缺少你的拿货成本；综合经营优先级为 P2，按店铺价值降级处理,先补产品上架成本，再决定 Base Cost,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 21.3%→≥16%、Base/前台价 72%→≤72%、成交 0 单→先攒满3单再看毛利、供货价分位 0.85→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-PT01-WH-LISTING-001,P2,待执行,Listing,PT01-WH,DMOM1038,,N,新品不进大促,Required Tags 覆盖率 79.2% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-PT03-WH-LISTING-001,P2,待执行,Listing,PT03-WH,DMOM1042,,N,新品不进大促,Required Tags 覆盖率 79.2% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-PT04-WH-LISTING-001,P2,待执行,Listing,PT04-WH,DMOM1043,,N,新品不进大促,Required Tags 覆盖率 79.2% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P151998-LISTING-001,P2,待执行,Listing,T2398P151998,W6D-G-locker,6门更衣柜灰色,N,新品不进大促,Required Tags 覆盖率 53.3% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P152000-LISTING-001,P2,待执行,Listing,T2398P152000,MFC-D3-W,3抽鹅颈活动柜白色,C,库存对照行不单独决策,Required Tags 覆盖率 78.6% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P152001-LISTING-001,P2,待执行,Listing,T2398P152001,MFC-D3-B,3抽鹅颈活动柜黑色,C,库存对照行不单独决策,Required Tags 覆盖率 78.6% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P154418-LISTING-001,P2,待执行,Listing,T2398P154418,VFC-3B,窄卡3抽黑色,C,库存对照行不单独决策,Required Tags 覆盖率 78.6% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P154419-LISTING-001,P2,待执行,Listing,T2398P154419,VFC-3W,窄卡3抽白色,N,库存对照行不单独决策,Required Tags 覆盖率 78.6% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P154450-INVENTORY-001,P2,待执行,库存,T2398P154450,LFC-4B,宽卡4抽黑色,,,可用库存仅 0；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
